Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1956-57,22,BOS,NBA,C,48,,35.3,5.8,13.5,0.427,3.2,6.4,0.492,19.6,1.8,3,14.7
1957-58,23,BOS,NBA,C,69,,38.3,6.6,15,0.442,3.3,6.4,0.519,22.7,2.9,2.6,16.6
1958-59,24,BOS,NBA,C,70,,42.6,6.5,14.2,0.457,3.7,6.1,0.598,23,3.2,2.3,16.7
1959-60,25,BOS,NBA,C,74,,42.5,7.5,16.1,0.467,3.2,5.3,0.612,24,3.7,2.8,18.2
1960-61,26,BOS,NBA,C,78,,44.3,6.8,16,0.426,3.3,6,0.55,23.9,3.4,2,16.9
1961-62,27,BOS,NBA,C,76,,45.2,7.6,16.6,0.457,3.8,6.3,0.595,23.6,4.5,2.7,18.9
1962-63,28,BOS,NBA,C,78,,44.9,6.6,15.2,0.432,3.7,6.6,0.555,23.6,4.5,2.4,16.8
1963-64,29,BOS,NBA,C,78,,44.6,6,13.8,0.433,3,5.5,0.55,24.7,4.7,2.4,15
1964-65,30,BOS,NBA,C,78,,44.4,5.5,12.6,0.438,3.1,5.5,0.573,24.1,5.3,2.6,14.1
1965-66,31,BOS,NBA,C,78,,43.4,5,12.1,0.415,2.9,5.2,0.551,22.8,4.8,2.8,12.9
1966-67,32,BOS,NBA,C,81,,40.7,4.9,10.7,0.454,3.5,5.8,0.61,21,5.8,3.2,13.3
1967-68,33,BOS,NBA,C,78,,37.9,4.7,11,0.425,3.2,5.9,0.537,18.6,4.6,3.1,12.5
1968-69,34,BOS,NBA,C,77,,42.7,3.6,8.4,0.433,2.6,5,0.526,19.3,4.9,3,9.9
Career,,,NBA,,963,,42.3,5.9,13.4,0.44,3.3,5.8,0.561,22.5,4.3,2.7,15.1
